names;image_links;prices;ratings;merchants
XIAOMI REDMI 9C RAM 4/64 GB GARANSI RESMI - Abu-abu;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/23/2e900f6b-8fc8-4277-9df0-8a288831d07c.jpg.webp?ect=4g;1660000;5;Q-Store Pedia
Infinix Hot 11s NFC 4/64GB + 6/128GB Garansi Resmi - 4/64 Green;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/20/83c48cd0-50af-494f-b916-04d317a77c24.jpg.webp?ect=4g;1875000;5;duniagadgetku
OPPO F1S RAM 4/32 GARANSI DISTRIBUTOR 1 TAHUN - ROSE GOLD, 4/32;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/11/3/b20129e7-6da1-4ed1-b678-89c4a7a1683b.jpg.webp?ect=4g;679000;4.8;tami_cell
Samsung Lipat Caramel GT-1272 - Merah;https://images.tokopedia.net/img/cache/500-square/product-1/2021/6/8/5614928/5614928_ec5df9f7-86c1-46b2-bec4-d37808846b18.jpeg.webp?ect=4g;158000;4.6;jdsell.id
Apple iPhone 8 64gb Second mulus ex internasional,fullset;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/10/29/4814a2be-852d-47f0-8241-d9e8199f5496.png.webp?ect=4g;2605000;4.9;cellularline168
"IPHONE 11 PRO MAX 3G ULTIMATE FS 6.5"" HDC - Hijau";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/20/2cfbd73d-f4bd-4d84-b3dc-8dbbac35af77.jpg.webp?ect=4g;1400000;4.9;WT Teknologi
OPPO A3S RAM 2/16 GB GARANSI RESMI OPPO INDONESIA - Ungu;https://images.tokopedia.net/img/cache/500-square/product-1/2018/8/10/0/0_de1168dc-4497-46c9-aa6c-e97f0c4b4138_540_540.jpg.webp?ect=4g;1499000;4.8;Grandstore cell
Redmi 9c 3/32 & 4/64 GB Garansi Resmi IMEI Terdaftar - [3/32] Orange;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/9/18/c296bb5d-45d8-49c2-aa68-eaefc56e4483.jpg.webp?ect=4g;1475000;5;duniagadgetku
Xiaomi Redmi Note 10 Pro 8/128 GB Garansi Resmi - Biru;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/20/79f020da-07df-485b-bd79-ede7e2f827ae.jpg.webp?ect=4g;3512000;5;Gudang-HP
Iphone XR 64gb Bekas Fullset - 64GB, BLACK;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/6/29/98402065-806f-4c6e-b339-59252c975d64.jpg.webp?ect=4g;4100000;4.9;Boboy Store
